,masking_prob,test_acc,val_acc
0,0.1,0.7365,0.8940823436665565
1,0.2,0.731,0.8921496325305801
2,0.3,0.73,0.8864023599420187
3,0.4,0.7205,0.8819266078376523
4,0.5,0.7127,0.8751621188617349
